"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30028884",5.06367039759814e-65,0.518579347393903,0.103,0.013,1.40081377879155e-60,"Secretory","SMED30028884"
"SMED30026774.3",5.31042177005183e-65,0.97558374317862,0.568,0.345,1.46907507846714e-60,"Secretory","SMED30026774"
"SMED30010969.4",7.72844360535922e-65,-0.892711083813142,0.416,0.726,2.13799663898657e-60,"Secretory","SMED30010969"
"SMED30012156",1.92602268001654e-63,0.628002780286417,0.146,0.027,5.32814914199775e-59,"Secretory","SMED30012156"
"SMED30007718.5",5.12161517477241e-63,-0.944989758803557,0.072,0.371,1.41684362194904e-58,"Secretory","SMED30007718"
"SMED30004085.6",1.16715627249976e-62,0.751026090655593,0.284,0.095,3.22882111224335e-58,"Secretory","SMED30004085"
"SMED30003824",1.35094440113953e-62,0.38030825029852,0.134,0.023,3.7372525913124e-58,"Secretory","SMED30003824"
"SMED30012869.3",3.72818447591293e-62,0.516383780369437,0.989,0.952,1.03136495341655e-57,"Secretory","SMED30012869"
"SMED30002753.5",4.25201875052906e-62,-1.73647761945578,0.129,0.443,1.17627846714636e-57,"Secretory","SMED30002753"
"SMED30018861.3",1.44008351359923e-61,1.04655318861846,0.487,0.269,3.98384703202091e-57,"Secretory","SMED30018861"
"SMED30000862",2.10823709893494e-61,0.48690305099667,0.111,0.016,5.83222711049363e-57,"Secretory","SMED30000862"
"SMED30002896.6",2.1757747705772e-59,0.847172427863261,0.531,0.294,6.01906332532478e-55,"Secretory","SMED30002896"
"SMED30008553.5",2.4937049054456e-59,-1.3044667836191,0.455,0.695,6.89858525042471e-55,"Secretory","SMED30008553"
"SMED30028938.4",2.18057650812639e-58,1.59377658481832,0.774,0.661,6.03234685208085e-54,"Secretory","SMED30028938"
"SMED30022344.7",4.27334286188049e-58,-1.44521427961423,0.046,0.319,1.18217756931062e-53,"Secretory","SMED30022344"
"SMED30034573.5",5.61936258361477e-58,-1.07697645921806,0.526,0.778,1.55454046513119e-53,"Secretory","SMED30034573"
"SMED30022570",7.12458360540681e-58,0.762121636226455,0.182,0.045,1.97094480859974e-53,"Secretory","SMED30022570"
"SMED30003090.2",9.65696427920604e-58,0.820450962465614,0.369,0.16,2.67150259819956e-53,"Secretory","SMED30003090"
"SMED30004124.6",2.1390582731387e-57,0.583280008045436,0.975,0.968,5.91749080681091e-53,"Secretory","SMED30004124"
"SMED30028449.5",3.38530355179389e-57,0.75192878616579,0.823,0.692,9.36510374568261e-53,"Secretory","SMED30028449"
"SMED30018715",9.87178783606248e-57,0.532155202919686,0.192,0.051,2.73093138696832e-52,"Secretory","SMED30018715"
"SMED30000446.3",9.5194707841593e-56,0.708895166408778,0.24,0.076,2.63346639772983e-51,"Secretory","SMED30000446"
"SMED30034477.5",9.5731039575019e-56,0.967790642471664,0.606,0.37,2.64830347880332e-51,"Secretory","SMED30034477"
