"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30016322.2",1.03112025744167e-93,-1.03054650656585,0.068,0.352,2.85249108018665e-89,"Neuronal","SMED30016322"
"SMED30020652.3",1.18116747005597e-93,-0.624996592631812,0.088,0.388,3.26758168916283e-89,"Neuronal","SMED30020652"
"SMED30015622",1.54312380452234e-93,0.759798644510939,0.142,0.024,4.26889769283059e-89,"Neuronal","SMED30015622"
"SMED30017299",3.92284968806287e-93,1.02753034457356,0.174,0.038,1.08521713770571e-88,"Neuronal","SMED30017299"
"SMED30024894.3",4.54454416225768e-93,-0.599699808496215,0.176,0.522,1.25720269704696e-88,"Neuronal","SMED30024894"
"SMED30014525.2",5.90908206084995e-93,-0.690840645368781,0.287,0.659,1.63468846131353e-88,"Neuronal","SMED30014525"
"SMED30026239.4",8.05844834144602e-93,-0.575010568538632,0.22,0.586,2.22928914917763e-88,"Neuronal","SMED30026239"
"SMED30032106",9.93614734805875e-93,0.857340057355139,0.193,0.048,2.74873580236697e-88,"Neuronal","SMED30032106"
"SMED30034258.3",1.00318666924407e-92,-0.550853986704741,0.215,0.587,2.7752156017968e-88,"Neuronal","SMED30034258"
"SMED30007389.4",1.0800351367591e-92,1.02333544368812,0.278,0.099,2.98780920233039e-88,"Neuronal","SMED30007389"
"SMED30017430.3",1.19422387252577e-92,-0.954241325262755,0.729,0.941,3.30370092095528e-88,"Neuronal","SMED30017430"
"SMED30021972.3",1.63728008244094e-92,0.926274366318823,0.241,0.074,4.52937162006462e-88,"Neuronal","SMED30021972"
"SMED30005004",2.28702062524644e-92,0.802603991215444,0.128,0.019,6.32681385768175e-88,"Neuronal","SMED30005004"
"SMED30007951.2",2.35465064130366e-92,1.10873654489139,0.525,0.349,6.51390553410244e-88,"Neuronal","SMED30007951"
"SMED30023111.3",4.67892726279384e-92,1.68722026982554,0.234,0.07,1.29437843797929e-87,"Neuronal","SMED30023111"
"SMED30022035.2",1.21065229308031e-91,-0.546879514205659,0.095,0.396,3.34914850357736e-87,"Neuronal","SMED30022035"
"SMED30014891.4",1.77110938432709e-91,-0.644234560009066,0.07,0.355,4.89959700080245e-87,"Neuronal","SMED30014891"
"SMED30029890.1",2.70624985920924e-91,0.701646950290306,0.154,0.029,7.48656961051643e-87,"Neuronal","SMED30029890"
"SMED30034969",3.11877651316871e-91,0.90513123726184,0.136,0.022,8.62778334602993e-87,"Neuronal","SMED30034969"
"SMED30023821.4",4.01624220426427e-91,-0.797408334063829,0.033,0.288,1.11105324338767e-86,"Neuronal","SMED30023821"
"SMED30031017.2",6.47613365661689e-91,-0.607812057619509,0.059,0.336,1.7915576147665e-86,"Neuronal","SMED30031017"
"SMED30026658.2",1.04913414976252e-90,-0.601124551741218,0.269,0.649,2.90232471190303e-86,"Neuronal","SMED30026658"
"SMED30009765.2",1.07155217831042e-90,-0.539327953387943,0.213,0.584,2.96434194607795e-86,"Neuronal","SMED30009765"
"SMED30020057.4",1.10880533455989e-90,-0.629512880279966,0.153,0.48,3.06739907752649e-86,"Neuronal","SMED30020057"
"SMED30021607.2",1.16579419821485e-90,-0.554599735707814,0.115,0.431,3.22505306994156e-86,"Neuronal","SMED30021607"
"SMED30014539.4",1.30133850414094e-90,1.08606939875858,0.423,0.216,3.60002283785549e-86,"Neuronal","SMED30014539"
"SMED30034837.1",1.68283100312208e-90,0.763282085757324,0.144,0.025,4.65538368703693e-86,"Neuronal","SMED30034837"
"SMED30013315",2.46888653605615e-90,0.907850012689808,0.122,0.017,6.82992771334574e-86,"Neuronal","SMED30013315"
"SMED30009032.4",1.50928918988846e-89,-0.725080087411266,0.076,0.356,4.17529761490745e-85,"Neuronal","SMED30009032"
"SMED30028073.2",1.51648185417797e-89,-0.535880241600891,0.099,0.403,4.19519540139794e-85,"Neuronal","SMED30028073"
"SMED30014565.4",1.56884973184599e-89,-0.880565600623105,0.039,0.295,4.34006589817876e-85,"Neuronal","SMED30014565"
"SMED30012458.4",1.74159663870443e-89,-0.779816076520849,0.036,0.29,4.81795294131195e-85,"Neuronal","SMED30012458"
"SMED30036004.3",3.84442562419012e-89,-0.842219578733459,0.018,0.258,1.06352190467596e-84,"Neuronal","SMED30036004"
"SMED30000919",4.24823198255671e-89,0.752225373434092,0.108,0.013,1.17523089565449e-84,"Neuronal","SMED30000919"
"SMED30023159.1",6.09776618998884e-89,-0.555843108033426,0.265,0.639,1.68688603879851e-84,"Neuronal","SMED30023159"
"SMED30032426",8.31571199897461e-89,1.30923580266895,0.119,0.017,2.30045856739634e-84,"Neuronal","SMED30032426"
"SMED30032682.2",1.03936777354026e-88,-0.519811787485218,0.114,0.427,2.87530700872178e-84,"Neuronal","SMED30032682"
"SMED30024600.3",1.88520703741683e-88,-0.672102680883416,0.341,0.683,5.21523674830992e-84,"Neuronal","SMED30024600"
"SMED30019011.4",2.98650986754848e-88,-0.841313933998646,0.071,0.341,8.26188089758611e-84,"Neuronal","SMED30019011"
"SMED30030466.3",4.06627329390644e-88,-0.569106547677934,0.102,0.404,1.12489384402628e-83,"Neuronal","SMED30030466"
"SMED30016342.2",5.76876171921099e-88,-0.58743471920976,0.079,0.364,1.59587024200253e-83,"Neuronal","SMED30016342"
"SMED30025222.2",6.61661343041761e-88,-0.57213080134005,0.084,0.371,1.83041993939073e-83,"Neuronal","SMED30025222"
"SMED30013757.3",8.92991993990667e-88,1.17032958128348,0.356,0.172,2.47037305217578e-83,"Neuronal","SMED30013757"
"SMED30028827",1.18247747321852e-87,0.584326308440774,0.102,0.011,3.27120568191173e-83,"Neuronal","SMED30028827"
"SMED30000691.2",1.48924972139594e-87,-0.60804900960085,0.37,0.736,4.11986042926974e-83,"Neuronal","SMED30000691"
"SMED30018157",2.15433662547961e-87,0.842197512942962,0.143,0.026,5.95975684072679e-83,"Neuronal","SMED30018157"
"SMED30033701.3",2.35026545034079e-87,-0.635794735818565,0.197,0.54,6.50177434182276e-83,"Neuronal","SMED30033701"
"SMED30007889.4",2.46349011638804e-87,1.1471356239921,0.526,0.376,6.81499905797587e-83,"Neuronal","SMED30007889"
"SMED30031380.4",3.40277379216365e-87,-0.708765653435596,0.255,0.583,9.41343341864151e-83,"Neuronal","SMED30031380"
"SMED30006378.2",3.76976486621209e-87,-0.52363143316351,0.09,0.382,1.04286775258891e-82,"Neuronal","SMED30006378"
"SMED30006907",4.05791038041105e-87,0.676440511010241,0.106,0.013,1.12258032763691e-82,"Neuronal","SMED30006907"
"SMED30009016.4",4.44462398486248e-87,-0.787142606771828,0.099,0.383,1.22956077917236e-82,"Neuronal","SMED30009016"
"SMED30019399",4.79173637509084e-87,0.713887878732907,0.121,0.018,1.32558595080513e-82,"Neuronal","SMED30019399"
"SMED30010638",5.3315497243262e-87,0.980993829342354,0.197,0.053,1.4749199157376e-82,"Neuronal","SMED30010638"
"SMED30019934.4",9.90586489108149e-87,1.02311870171236,0.37,0.169,2.74035846346878e-82,"Neuronal","SMED30019934"
"SMED30000800.1",1.50904900061291e-86,-0.512465576909221,0.112,0.418,4.17463315529555e-82,"Neuronal","SMED30000800"
"SMED30007406.4",1.5644099662038e-86,-1.59606085769771,0.398,0.628,4.32778373050619e-82,"Neuronal","SMED30007406"
"SMED30023201.2",1.81891415363114e-86,-0.60767818636972,0.033,0.283,5.03184411460519e-82,"Neuronal","SMED30023201"
"SMED30022614.2",2.0831187935029e-86,-0.58170481411736,0.458,0.807,5.76273983034641e-82,"Neuronal","SMED30022614"
"SMED30008255.2",3.43744355714458e-86,-0.553908078058827,0.179,0.514,9.50934385648477e-82,"Neuronal","SMED30008255"
"SMED30031106.2",4.43489422773629e-86,-0.542952721938621,0.223,0.578,1.22686913916097e-81,"Neuronal","SMED30031106"
"SMED30001490.3",5.34668117508055e-86,-0.994950087103334,0.109,0.394,1.47910588027428e-81,"Neuronal","SMED30001490"
"SMED30030946.4",6.23162608294879e-86,-0.798549517600708,0.038,0.286,1.72391703958695e-81,"Neuronal","SMED30030946"
"SMED30031463.4",9.63642137651733e-86,-1.30835715917748,0.341,0.605,2.66581960959975e-81,"Neuronal","SMED30031463"
"SMED30005190.2",1.22805974554277e-85,-0.610588177254698,0.411,0.776,3.39730448006953e-81,"Neuronal","SMED30005190"
"SMED30012699.4",1.62584617200678e-85,-0.577679739887485,0.018,0.251,4.49774085023956e-81,"Neuronal","SMED30012699"
"SMED30012974.1",2.27829591286014e-85,-0.589328102219957,0.345,0.721,6.3026778133363e-81,"Neuronal","SMED30012974"
