"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30018507",1.53670956949104e-66,0.338752402509994,0.872,0.725,4.25115335304001e-62,"AP-6","SMED30018507"
"SMED30011827.1",1.58601891131037e-66,0.325929987997155,0.731,0.506,4.38756271624901e-62,"AP-6","SMED30011827"
"SMED30028040.3",7.860440452192e-66,0.408226646786505,0.91,0.78,2.1745122466944e-61,"AP-6","SMED30028040"
"SMED30016824.4",2.01973721022524e-65,-1.25534546893036,0.634,0.372,5.58740101836712e-61,"AP-6","SMED30016824"
"SMED30015642.4",1.03368035569108e-64,0.305814358074409,0.888,0.759,2.85957333598379e-60,"AP-6","SMED30015642"
"SMED30026887.4",2.08563008867625e-64,0.557514893864469,0.982,0.927,5.76968707731398e-60,"AP-6","SMED30026887"
"SMED30013228.2",5.18835802261866e-64,0.349416323379944,0.725,0.515,1.43530736337723e-59,"AP-6","SMED30013228"
"SMED30006369",7.1030517338338e-63,0.272625159825874,0.882,0.73,1.96498823164778e-58,"AP-6","SMED30006369"
"SMED30015413.4",1.79985176099212e-62,0.463849044554161,0.962,0.879,4.97910991160859e-58,"AP-6","SMED30015413"
"SMED30023860.4",7.91276649423289e-62,0.539054336085626,0.923,0.815,2.18898772296459e-57,"AP-6","SMED30023860"
"SMED30027474.1",7.95769316076884e-62,0.280360263871807,0.986,0.931,2.20141623599509e-57,"AP-6","SMED30027474"
"SMED30006773.3",1.9818756731604e-61,0.289605964205789,0.874,0.716,5.48266086223092e-57,"AP-6","SMED30006773"
"SMED30035218.3",7.63761405575663e-61,0.379640090551335,0.859,0.7,2.11286955238452e-56,"AP-6","SMED30035218"
"SMED30019959.1",2.01651710210375e-59,0.294381356847883,0.898,0.767,5.57849291125981e-55,"AP-6","SMED30019959"
"SMED30018300",5.28446248870429e-59,-0.356051084187313,0.447,0.214,1.46189370287516e-54,"AP-6","SMED30018300"
"SMED30001679.3",1.24048914314532e-58,0.346132058255495,0.831,0.65,3.4316891655972e-54,"AP-6","SMED30001679"
"SMED30029370.1",3.45832516649486e-58,0.258826053093935,0.957,0.868,9.56711074059138e-54,"AP-6","SMED30029370"
"SMED30005551.2",1.16163473519636e-57,0.259514531992006,0.993,0.952,3.21354633144722e-53,"AP-6","SMED30005551"
"SMED30017339.1",1.32504454422425e-57,0.250786130666131,0.917,0.778,3.66560322714196e-53,"AP-6","SMED30017339"
"SMED30013845",1.93861954705894e-57,0.254063935861156,0.808,0.636,5.36299711498384e-53,"AP-6","SMED30013845"
"SMED30034573",9.42763180894096e-57,0.324951227623067,0.993,0.951,2.60806006362543e-52,"AP-6","SMED30034573"
"SMED30013257",1.5566663487301e-56,0.270704080357386,0.823,0.641,4.30636178712694e-52,"AP-6","SMED30013257"
"SMED30023110.4",1.48971724546831e-55,0.370243137848868,0.861,0.713,4.12115378786354e-51,"AP-6","SMED30023110"
"SMED30003863.2",3.90968719735177e-55,0.261221898246058,0.893,0.745,1.08157586627539e-50,"AP-6","SMED30003863"
"SMED30024211.2",7.15951579677973e-54,0.394649342152543,0.483,0.279,1.98060845002114e-49,"AP-6","SMED30024211"
