"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30019793.1",5.837702524253e-31,-0.556834165900306,0.861,0.918,1.61494202630935e-26,"AP-3","SMED30019793"
"SMED30031201",6.60258964964439e-31,-0.298095919959495,0.272,0.449,1.82654040067762e-26,"AP-3","SMED30031201"
"SMED30014203",8.31374761973326e-31,-0.30359129145858,0.883,0.942,2.29991514152301e-26,"AP-3","SMED30014203"
"SMED30000995",9.57886142484881e-31,-0.389322733875591,0.676,0.783,2.64989622457017e-26,"AP-3","SMED30000995"
"SMED30027929",1.07257448726743e-30,-0.460773665599745,0.948,0.971,2.96717006157661e-26,"AP-3","SMED30027929"
"SMED30020257",1.22781367416141e-30,-0.376145612886736,0.584,0.72,3.39662374820011e-26,"AP-3","SMED30020257"
"SMED30006095",1.23399173147873e-30,-0.330577517886268,0.811,0.874,3.41371472596277e-26,"AP-3","SMED30006095"
"SMED30001925.1",1.25614484769625e-30,-0.390280327942258,0.027,0.172,3.47499910666691e-26,"AP-3","SMED30001925"
"SMED30030992.1",1.67673435034594e-30,-0.539425228767028,0.019,0.159,4.63851790679702e-26,"AP-3","SMED30030992"
"SMED30013149.1",3.75876877636064e-30,-0.425036698220703,0.034,0.181,1.03982579429241e-25,"AP-3","SMED30013149"
"SMED30012827",4.43127780337468e-30,-0.290401267503929,0.255,0.439,1.22586869152557e-25,"AP-3","SMED30012827"
"SMED30014539",4.91607387968725e-30,-0.30458356826395,0.559,0.704,1.35998267807668e-25,"AP-3","SMED30014539"
"SMED30010352.1",6.05524567002643e-30,-0.599809376835395,0.032,0.177,1.67512316215611e-25,"AP-3","SMED30010352"
"SMED30017339",6.91120211083005e-30,-0.263818885070768,0.717,0.824,1.91191495194003e-25,"AP-3","SMED30017339"
"SMED30022746.1",8.76684458272641e-30,-0.284821091714024,0.039,0.184,2.42525988536544e-25,"AP-3","SMED30022746"
"SMED30026887",3.67723904217116e-29,-0.569202679197175,0.949,0.977,1.01727140862623e-24,"AP-3","SMED30026887"
